VCC	V(rc)	I(RC)
Step Information: VBB=9.5  (Step: 1/3)
0.000000000000000e+00	3.819974e-03	-3.819975e-06
1.000000000000000e-01	2.867441e-02	7.132559e-05
2.000000000000000e-01	4.310564e-02	1.568944e-04
3.000000000000000e-01	5.323218e-02	2.467678e-04
4.000000000000000e-01	6.109583e-02	3.389042e-04
5.000000000000000e-01	6.762986e-02	4.323701e-04
6.000000000000001e-01	7.320911e-02	5.267909e-04
7.000000000000001e-01	7.816188e-02	6.218381e-04
8.000000000000000e-01	8.265961e-02	7.173404e-04
9.000000000000000e-01	8.681358e-02	8.131864e-04
1.000000000000000e+00	9.070535e-02	9.092946e-04
1.100000000000000e+00	9.439624e-02	1.005604e-03
1.200000000000000e+00	9.793402e-02	1.102066e-03
1.300000000000000e+00	1.013573e-01	1.198643e-03
1.400000000000000e+00	1.046987e-01	1.295301e-03
1.500000000000000e+00	1.079866e-01	1.392013e-03
1.600000000000000e+00	1.112469e-01	1.488753e-03
1.700000000000000e+00	1.145044e-01	1.585496e-03
1.800000000000000e+00	1.177837e-01	1.682216e-03
1.900000000000000e+00	1.211103e-01	1.778890e-03
2.000000000000000e+00	1.245121e-01	1.875488e-03
2.100000000000000e+00	1.280205e-01	1.971979e-03
2.200000000000000e+00	1.316728e-01	2.068327e-03
2.300000000000000e+00	1.355146e-01	2.164485e-03
2.400000000000000e+00	1.396056e-01	2.260394e-03
2.500000000000000e+00	1.440208e-01	2.355979e-03
2.600000000000000e+00	1.488686e-01	2.451131e-03
2.700000000000000e+00	1.543061e-01	2.545694e-03
2.800000000000000e+00	1.605774e-01	2.639423e-03
2.900000000000000e+00	1.680928e-01	2.731907e-03
3.000000000000000e+00	1.776221e-01	2.822378e-03
3.100000000000000e+00	1.908560e-01	2.909144e-03
3.200000000000000e+00	2.125334e-01	2.987467e-03
3.300000000000000e+00	2.593513e-01	3.040649e-03
3.400000000000000e+00	3.466869e-01	3.053313e-03
3.500000000000000e+00	4.433768e-01	3.056623e-03
3.600000000000000e+00	5.403978e-01	3.059602e-03
3.700000000000000e+00	6.374249e-01	3.062575e-03
3.800000000000000e+00	7.344521e-01	3.065548e-03
3.900000000000000e+00	8.314794e-01	3.068521e-03
4.000000000000000e+00	9.285067e-01	3.071493e-03
4.100000000000001e+00	1.025534e+00	3.074466e-03
4.200000000000000e+00	1.122561e+00	3.077439e-03
4.300000000000000e+00	1.219589e+00	3.080412e-03
4.400000000000000e+00	1.316616e+00	3.083384e-03
4.500000000000000e+00	1.413643e+00	3.086357e-03
4.600000000000001e+00	1.510670e+00	3.089330e-03
4.700000000000000e+00	1.607697e+00	3.092302e-03
4.800000000000001e+00	1.704725e+00	3.095275e-03
4.900000000000000e+00	1.801752e+00	3.098248e-03
5.000000000000000e+00	1.898779e+00	3.101221e-03
5.100000000000001e+00	1.995807e+00	3.104193e-03
5.200000000000000e+00	2.092834e+00	3.107166e-03
5.300000000000001e+00	2.189861e+00	3.110139e-03
5.400000000000000e+00	2.286888e+00	3.113111e-03
5.500000000000000e+00	2.383916e+00	3.116084e-03
5.600000000000001e+00	2.480943e+00	3.119057e-03
5.700000000000000e+00	2.577970e+00	3.122030e-03
5.800000000000001e+00	2.674998e+00	3.125002e-03
5.900000000000000e+00	2.772025e+00	3.127975e-03
6.000000000000000e+00	2.869052e+00	3.130948e-03
6.100000000000001e+00	2.966079e+00	3.133921e-03
6.200000000000000e+00	3.063107e+00	3.136893e-03
6.300000000000001e+00	3.160134e+00	3.139866e-03
6.400000000000000e+00	3.257161e+00	3.142839e-03
6.500000000000000e+00	3.354188e+00	3.145812e-03
6.600000000000001e+00	3.451216e+00	3.148784e-03
6.700000000000000e+00	3.548243e+00	3.151757e-03
6.800000000000001e+00	3.645270e+00	3.154730e-03
6.900000000000000e+00	3.742298e+00	3.157703e-03
7.000000000000000e+00	3.839325e+00	3.160675e-03
7.100000000000001e+00	3.936352e+00	3.163648e-03
7.200000000000000e+00	4.033380e+00	3.166621e-03
7.300000000000001e+00	4.130407e+00	3.169593e-03
7.400000000000000e+00	4.227434e+00	3.172566e-03
7.500000000000000e+00	4.324461e+00	3.175539e-03
7.600000000000001e+00	4.421489e+00	3.178512e-03
7.700000000000000e+00	4.518516e+00	3.181484e-03
7.800000000000001e+00	4.615543e+00	3.184457e-03
7.900000000000000e+00	4.712570e+00	3.187430e-03
8.000000000000000e+00	4.809597e+00	3.190402e-03
8.100000000000000e+00	4.906625e+00	3.193375e-03
8.200000000000001e+00	5.003652e+00	3.196348e-03
8.300000000000001e+00	5.100679e+00	3.199321e-03
8.400000000000000e+00	5.197707e+00	3.202293e-03
8.500000000000000e+00	5.294734e+00	3.205266e-03
8.600000000000000e+00	5.391761e+00	3.208239e-03
8.700000000000001e+00	5.488789e+00	3.211211e-03
8.800000000000001e+00	5.585816e+00	3.214184e-03
8.900000000000000e+00	5.682843e+00	3.217157e-03
9.000000000000000e+00	5.779871e+00	3.220130e-03
9.100000000000000e+00	5.876898e+00	3.223102e-03
9.200000000000001e+00	5.973925e+00	3.226075e-03
9.300000000000001e+00	6.070952e+00	3.229048e-03
9.400000000000000e+00	6.167980e+00	3.232020e-03
9.500000000000000e+00	6.265007e+00	3.234993e-03
9.600000000000001e+00	6.362034e+00	3.237966e-03
9.700000000000001e+00	6.459062e+00	3.240939e-03
9.800000000000001e+00	6.556089e+00	3.243911e-03
9.900000000000000e+00	6.653116e+00	3.246884e-03
1.000000000000000e+01	6.750144e+00	3.249857e-03
Step Information: VBB=17.4  (Step: 2/3)
0.000000000000000e+00	4.594274e-03	-4.594274e-06
1.000000000000000e-01	2.100909e-02	7.899091e-05
2.000000000000000e-01	3.181047e-02	1.681895e-04
3.000000000000000e-01	3.983607e-02	2.601639e-04
4.000000000000000e-01	4.624537e-02	3.537546e-04
5.000000000000000e-01	5.162048e-02	4.483795e-04
6.000000000000001e-01	5.622835e-02	5.437717e-04
7.000000000000001e-01	6.029728e-02	6.397027e-04
8.000000000000000e-01	6.395537e-02	7.360446e-04
9.000000000000000e-01	6.728900e-02	8.327110e-04
1.000000000000000e+00	7.036135e-02	9.296386e-04
1.100000000000000e+00	7.321966e-02	1.026780e-03
1.200000000000000e+00	7.590007e-02	1.124100e-03
1.300000000000000e+00	7.843090e-02	1.221569e-03
1.400000000000000e+00	8.083473e-02	1.319165e-03
1.500000000000000e+00	8.312993e-02	1.416870e-03
1.600000000000000e+00	8.533166e-02	1.514668e-03
1.700000000000000e+00	8.745256e-02	1.612547e-03
1.800000000000000e+00	8.950340e-02	1.710497e-03
1.900000000000000e+00	9.149339e-02	1.808507e-03
2.000000000000000e+00	9.343052e-02	1.906569e-03
2.100000000000000e+00	9.532183e-02	2.004678e-03
2.200000000000000e+00	9.717353e-02	2.102826e-03
2.300000000000000e+00	9.899123e-02	2.201009e-03
2.400000000000000e+00	1.007800e-01	2.299220e-03
2.500000000000000e+00	1.025445e-01	2.397456e-03
2.600000000000000e+00	1.042889e-01	2.495711e-03
2.700000000000000e+00	1.060175e-01	2.593982e-03
2.800000000000000e+00	1.077339e-01	2.692266e-03
2.900000000000000e+00	1.094419e-01	2.790558e-03
3.000000000000000e+00	1.111450e-01	2.888855e-03
3.100000000000000e+00	1.128467e-01	2.987153e-03
3.200000000000000e+00	1.145506e-01	3.085449e-03
3.300000000000000e+00	1.162601e-01	3.183740e-03
3.400000000000000e+00	1.179788e-01	3.282021e-03
3.500000000000000e+00	1.197105e-01	3.380290e-03
3.600000000000000e+00	1.214590e-01	3.478541e-03
3.700000000000000e+00	1.232284e-01	3.576772e-03
3.800000000000000e+00	1.250231e-01	3.674977e-03
3.900000000000000e+00	1.268478e-01	3.773152e-03
4.000000000000000e+00	1.287077e-01	3.871292e-03
4.100000000000001e+00	1.306085e-01	3.969391e-03
4.200000000000000e+00	1.325567e-01	4.067443e-03
4.300000000000000e+00	1.345594e-01	4.165441e-03
4.400000000000000e+00	1.366249e-01	4.263375e-03
4.500000000000000e+00	1.387627e-01	4.361237e-03
4.600000000000001e+00	1.409840e-01	4.459016e-03
4.700000000000000e+00	1.433021e-01	4.556698e-03
4.800000000000001e+00	1.457326e-01	4.654267e-03
4.900000000000000e+00	1.482948e-01	4.751705e-03
5.000000000000000e+00	1.510126e-01	4.848987e-03
5.100000000000001e+00	1.539158e-01	4.946084e-03
5.200000000000000e+00	1.570429e-01	5.042957e-03
5.300000000000001e+00	1.604459e-01	5.139554e-03
5.400000000000000e+00	1.641911e-01	5.235809e-03
5.500000000000000e+00	1.683754e-01	5.331625e-03
5.600000000000001e+00	1.731391e-01	5.426861e-03
5.700000000000000e+00	1.786985e-01	5.521302e-03
5.800000000000001e+00	1.854112e-01	5.614589e-03
5.900000000000000e+00	1.939298e-01	5.706070e-03
6.000000000000000e+00	2.056231e-01	5.794377e-03
6.100000000000001e+00	2.240497e-01	5.875950e-03
6.200000000000000e+00	2.612506e-01	5.938749e-03
6.300000000000001e+00	3.384701e-01	5.961530e-03
6.400000000000000e+00	4.319291e-01	5.968071e-03
6.500000000000000e+00	5.262699e-01	5.973730e-03
6.600000000000001e+00	6.206232e-01	5.979377e-03
6.700000000000000e+00	7.149773e-01	5.985023e-03
6.800000000000001e+00	8.093312e-01	5.990669e-03
6.900000000000000e+00	9.036853e-01	5.996315e-03
7.000000000000000e+00	9.980393e-01	6.001960e-03
7.100000000000001e+00	1.092393e+00	6.007607e-03
7.200000000000000e+00	1.186747e+00	6.013253e-03
7.300000000000001e+00	1.281101e+00	6.018898e-03
7.400000000000000e+00	1.375455e+00	6.024545e-03
7.500000000000000e+00	1.469809e+00	6.030191e-03
7.600000000000001e+00	1.564163e+00	6.035836e-03
7.700000000000000e+00	1.658517e+00	6.041483e-03
7.800000000000001e+00	1.752872e+00	6.047129e-03
7.900000000000000e+00	1.847226e+00	6.052774e-03
8.000000000000000e+00	1.941580e+00	6.058421e-03
8.100000000000000e+00	2.035934e+00	6.064066e-03
8.200000000000001e+00	2.130288e+00	6.069712e-03
8.300000000000001e+00	2.224642e+00	6.075358e-03
8.400000000000000e+00	2.318996e+00	6.081004e-03
8.500000000000000e+00	2.413350e+00	6.086650e-03
8.600000000000000e+00	2.507704e+00	6.092296e-03
8.700000000000001e+00	2.602058e+00	6.097942e-03
8.800000000000001e+00	2.696412e+00	6.103588e-03
8.900000000000000e+00	2.790766e+00	6.109234e-03
9.000000000000000e+00	2.885120e+00	6.114880e-03
9.100000000000000e+00	2.979474e+00	6.120526e-03
9.200000000000001e+00	3.073828e+00	6.126172e-03
9.300000000000001e+00	3.168182e+00	6.131818e-03
9.400000000000000e+00	3.262536e+00	6.137464e-03
9.500000000000000e+00	3.356890e+00	6.143110e-03
9.600000000000001e+00	3.451244e+00	6.148756e-03
9.700000000000001e+00	3.545598e+00	6.154402e-03
9.800000000000001e+00	3.639952e+00	6.160048e-03
9.900000000000000e+00	3.734306e+00	6.165694e-03
1.000000000000000e+01	3.828660e+00	6.171340e-03
Step Information: VBB=25.3  (Step: 3/3)
0.000000000000000e+00	4.936876e-03	-4.936875e-06
1.000000000000000e-01	1.732583e-02	8.267417e-05
2.000000000000000e-01	2.612899e-02	1.738710e-04
3.000000000000000e-01	3.294882e-02	2.670512e-04
4.000000000000000e-01	3.855265e-02	3.614473e-04
5.000000000000000e-01	4.326536e-02	4.567346e-04
6.000000000000001e-01	4.736787e-02	5.526321e-04
7.000000000000001e-01	5.101061e-02	6.489894e-04
8.000000000000000e-01	5.429210e-02	7.457079e-04
9.000000000000000e-01	5.728370e-02	8.427163e-04
1.000000000000000e+00	6.003810e-02	9.399619e-04
1.100000000000000e+00	6.259512e-02	1.037405e-03
1.200000000000000e+00	6.498561e-02	1.135014e-03
1.300000000000000e+00	6.723391e-02	1.232766e-03
1.400000000000000e+00	6.935960e-02	1.330640e-03
1.500000000000000e+00	7.137862e-02	1.428621e-03
1.600000000000000e+00	7.330416e-02	1.526696e-03
1.700000000000000e+00	7.514725e-02	1.624853e-03
1.800000000000000e+00	7.691720e-02	1.723083e-03
1.900000000000000e+00	7.862196e-02	1.821378e-03
2.000000000000000e+00	8.026838e-02	1.919732e-03
2.100000000000000e+00	8.186240e-02	2.018138e-03
2.200000000000000e+00	8.340919e-02	2.116591e-03
2.300000000000000e+00	8.491333e-02	2.215087e-03
2.400000000000000e+00	8.637886e-02	2.313621e-03
2.500000000000000e+00	8.780938e-02	2.412191e-03
2.600000000000000e+00	8.920814e-02	2.510792e-03
2.700000000000000e+00	9.057804e-02	2.609422e-03
2.800000000000000e+00	9.192172e-02	2.708078e-03
2.900000000000000e+00	9.324160e-02	2.806759e-03
3.000000000000000e+00	9.453987e-02	2.905460e-03
3.100000000000000e+00	9.581858e-02	3.004181e-03
3.200000000000000e+00	9.707958e-02	3.102920e-03
3.300000000000000e+00	9.832463e-02	3.201675e-03
3.400000000000000e+00	9.955537e-02	3.300445e-03
3.500000000000000e+00	1.007733e-01	3.399227e-03
3.600000000000000e+00	1.019799e-01	3.498020e-03
3.700000000000000e+00	1.031766e-01	3.596823e-03
3.800000000000000e+00	1.043646e-01	3.695635e-03
3.900000000000000e+00	1.055452e-01	3.794455e-03
4.000000000000000e+00	1.067196e-01	3.893280e-03
4.100000000000001e+00	1.078890e-01	3.992111e-03
4.200000000000000e+00	1.090546e-01	4.090945e-03
4.300000000000000e+00	1.102174e-01	4.189783e-03
4.400000000000000e+00	1.113786e-01	4.288621e-03
4.500000000000000e+00	1.125392e-01	4.387461e-03
4.600000000000001e+00	1.137005e-01	4.486300e-03
4.700000000000000e+00	1.148633e-01	4.585137e-03
4.800000000000001e+00	1.160290e-01	4.683971e-03
4.900000000000000e+00	1.171985e-01	4.782801e-03
5.000000000000000e+00	1.183731e-01	4.881627e-03
5.100000000000001e+00	1.195539e-01	4.980446e-03
