VCC	V(rc)	I(RC)
Step Information: VBB=9.5  (Step: 1/3)
0.000000000000000e+00	7.025846e-03	-7.025846e-06
1.000000000000000e-01	5.085485e-02	4.914514e-05
2.000000000000000e-01	7.262732e-02	1.273727e-04
3.000000000000000e-01	8.713730e-02	2.128627e-04
4.000000000000000e-01	9.854503e-02	3.014550e-04
5.000000000000000e-01	1.084871e-01	3.915129e-04
6.000000000000001e-01	1.177830e-01	4.822170e-04
7.000000000000001e-01	1.270114e-01	5.729886e-04
8.000000000000000e-01	1.367287e-01	6.632713e-04
9.000000000000000e-01	1.476768e-01	7.523232e-04
1.000000000000000e+00	1.611889e-01	8.388111e-04
1.100000000000000e+00	1.804957e-01	9.195043e-04
1.200000000000000e+00	2.165606e-01	9.834394e-04
1.300000000000000e+00	2.946680e-01	1.005332e-03
1.400000000000000e+00	3.935439e-01	1.006456e-03
1.500000000000000e+00	4.935192e-01	1.006481e-03
1.600000000000000e+00	5.935187e-01	1.006481e-03
1.700000000000000e+00	6.935187e-01	1.006481e-03
1.800000000000000e+00	7.935187e-01	1.006481e-03
1.900000000000000e+00	8.935186e-01	1.006481e-03
2.000000000000000e+00	9.935187e-01	1.006481e-03
2.100000000000000e+00	1.093519e+00	1.006481e-03
2.200000000000000e+00	1.193519e+00	1.006481e-03
2.300000000000000e+00	1.293519e+00	1.006481e-03
2.400000000000000e+00	1.393519e+00	1.006481e-03
2.500000000000000e+00	1.493519e+00	1.006481e-03
2.600000000000000e+00	1.593519e+00	1.006481e-03
2.700000000000000e+00	1.693519e+00	1.006481e-03
2.800000000000000e+00	1.793519e+00	1.006481e-03
2.900000000000000e+00	1.893519e+00	1.006481e-03
3.000000000000000e+00	1.993519e+00	1.006481e-03
3.100000000000000e+00	2.093518e+00	1.006481e-03
3.200000000000000e+00	2.193519e+00	1.006481e-03
3.300000000000000e+00	2.293519e+00	1.006481e-03
3.400000000000000e+00	2.393518e+00	1.006481e-03
3.500000000000000e+00	2.493519e+00	1.006481e-03
3.600000000000000e+00	2.593518e+00	1.006481e-03
3.700000000000000e+00	2.693518e+00	1.006482e-03
3.800000000000000e+00	2.793519e+00	1.006482e-03
3.900000000000000e+00	2.893518e+00	1.006482e-03
4.000000000000000e+00	2.993518e+00	1.006482e-03
4.100000000000001e+00	3.093518e+00	1.006482e-03
4.200000000000000e+00	3.193518e+00	1.006482e-03
4.300000000000000e+00	3.293518e+00	1.006482e-03
4.400000000000000e+00	3.393518e+00	1.006482e-03
4.500000000000000e+00	3.493518e+00	1.006482e-03
4.600000000000001e+00	3.593518e+00	1.006482e-03
4.700000000000000e+00	3.693518e+00	1.006482e-03
4.800000000000001e+00	3.793518e+00	1.006482e-03
4.900000000000000e+00	3.893518e+00	1.006482e-03
5.000000000000000e+00	3.993518e+00	1.006482e-03
5.100000000000001e+00	4.093518e+00	1.006482e-03
5.200000000000000e+00	4.193518e+00	1.006482e-03
5.300000000000001e+00	4.293519e+00	1.006482e-03
5.400000000000000e+00	4.393518e+00	1.006482e-03
5.500000000000000e+00	4.493518e+00	1.006482e-03
5.600000000000001e+00	4.593518e+00	1.006482e-03
5.700000000000000e+00	4.693518e+00	1.006482e-03
5.800000000000001e+00	4.793518e+00	1.006482e-03
5.900000000000000e+00	4.893518e+00	1.006482e-03
6.000000000000000e+00	4.993518e+00	1.006482e-03
6.100000000000001e+00	5.093518e+00	1.006482e-03
6.200000000000000e+00	5.193518e+00	1.006482e-03
6.300000000000001e+00	5.293518e+00	1.006482e-03
6.400000000000000e+00	5.393518e+00	1.006482e-03
6.500000000000000e+00	5.493518e+00	1.006482e-03
6.600000000000001e+00	5.593518e+00	1.006482e-03
6.700000000000000e+00	5.693518e+00	1.006482e-03
6.800000000000001e+00	5.793518e+00	1.006482e-03
6.900000000000000e+00	5.893518e+00	1.006482e-03
7.000000000000000e+00	5.993518e+00	1.006482e-03
7.100000000000001e+00	6.093518e+00	1.006482e-03
7.200000000000000e+00	6.193518e+00	1.006482e-03
7.300000000000001e+00	6.293518e+00	1.006482e-03
7.400000000000000e+00	6.393518e+00	1.006482e-03
7.500000000000000e+00	6.493518e+00	1.006482e-03
7.600000000000001e+00	6.593518e+00	1.006482e-03
7.700000000000000e+00	6.693518e+00	1.006482e-03
7.800000000000001e+00	6.793518e+00	1.006482e-03
7.900000000000000e+00	6.893518e+00	1.006482e-03
8.000000000000000e+00	6.993518e+00	1.006482e-03
8.100000000000000e+00	7.093518e+00	1.006482e-03
8.200000000000001e+00	7.193518e+00	1.006482e-03
8.300000000000001e+00	7.293518e+00	1.006482e-03
8.400000000000000e+00	7.393518e+00	1.006482e-03
8.500000000000000e+00	7.493518e+00	1.006482e-03
